timestamp,price,market_cap,total_volume
1604090097069,13572.2012852686,251103281131.94,23283240047.1319
1604090343891,13585.0740129862,251731924108.372,23351467833.2894
1604090701569,13619.5088540844,251731924108.372,23442737478.4322
1604090987430,13649.7263352751,252930015930.879,23556030128.6326
1604091274985,13624.1693243314,252930015930.879,23542962957.441
1604091585776,13619.4121807935,252368293344.827,23589949972.8909
1604091847033,13625.6585369383,252368293344.827,23556560990.2041
1604092230929,13560.4005920923,251423462844.765,23472391325.6124
1604092460933,13525.0806684572,251423462844.765,23491315420.9211
1604092773266,13526.9581705074,250655373570.908,23545802152.0883
1604093000451,13539.7360534503,250655373570.908,23631681057.0361
1604093432272,13538.0653542339,250794540738.294,23663167407.9153
1604093687769,13551.7731231906,250794540738.294,23662480731.2559
1604093920646,13538.1794811809,250863386382.486,23657178073.5881
1604094261208,13529.1583572026,250863386382.486,23694928500.9
1604094608316,13555.0704452518,251069492417.086,23732684637.5109
1604094864824,13538.0650257584,251069492417.086,23691199287.6627
1604095182746,13548.131537876,251047798669.787,23688099189.2698
1604095452077,13556.9788666128,251047798669.787,23643213527.5348
1604095830285,13561.7293053288,251276404049.249,23548977047.6934
1604096041264,13551.5738396059,251276404049.249,23537394683.9732
1604096459949,13567.8572094308,251401576894.104,23556246149.6676
1604096671475,13579.9483486948,251401576894.104,23585502869.0637
1604096953325,13572.9368897629,251507701412.816,23558018282.4359
1604097230307,13586.0282620808,251507701412.816,23589732377.2808
1604097635086,13571.1300252232,251515413362.87,23616063729.445
1604097897990,13556.1755670563,251515413362.87,23596606422.6144
1604098209727,13561.7751205264,251134505109.24,23570088811.0257
1604098460467,13560.1493113367,251134505109.24,23576561443.791
1604098800690,13556.2463038512,251231052041.458,23588837856.7818
1604099004849,13559.8885797522,251231052041.458,23567306186.4195
1604099349012,13583.4553783134,251702868006.416,23511631017.6002
1604099705993,13584.8829562882,251702868006.416,23489369262.5781
1604099968044,13579.1980450246,251624060644.487,23375794287.4801
1604100322620,13574.5919201915,251624060644.487,23436151966.5126
1604100604127,13608.8875816674,252174211083.706,23492688719.1047
1604100877622,13617.8363558085,252174211083.706,23533616129.2376
1604101233867,13607.6300966825,252182741482.681,23507909052.9449
1604101453993,13606.5942229288,252182741482.681,23537053309.7611
1604101828003,13572.5348645883,251557921704.311,23473790463.9786
1604102091910,13562.8186695803,251557921704.311,23479557367.9485
